avgTemp,minTemp,maxTemp,fainFall,avgPrice
1.1,20,27.9,9.2,2700
0.7,20.1,29.4,0.1,2760
0.9,21.3,28.1,3.7,2800
1,21.8,28.8,5,2567
0.9,23,26.2,17.1,2544
0.8,22.8,27.9,6.1,2544
0.7,22.3,27.1,1.4,2544
1.7,22.1,30.1,1,2574
1.3,21.3,31.6,0.4,2664
1.3,20.7,29.8,1.1,2738
1,20.1,28.4,0.7,2771
0.8,20.4,30.2,0.8,2771
0.9,20.4,29.3,4.6,2771
2,20.6,24.5,57.6,2771
0.9,20.1,26.7,0.6,2953
1.3,20.3,27,11.3,3216
1.2,20,28.7,0.1,3155
1.1,20.5,29.3,0.9,3300
0.8,22,27.1,54.1,3327
0.5,23.2,27.8,36.6,3327
1.1,23.5,30.8,1.1,3327
1.2,23.4,31.9,0.7,3721
1.1,23.6,32,0.5,3671
1.4,24.1,32,2.2,3700
1.6,24.4,32.4,0.2,3744
1,23.1,30.9,21.3,3759
1,22.9,30.9,6.7,3759
1.4,22.8,31.1,5.6,3759
1.4,23.1,31.1,1.9,3694
1.5,22.9,31.9,3.2,3792
0.9,22.5,28.5,14.4,3792
1.1,23.4,30.9,0.7,3678
1,24.1,30.9,0.1,3776
1.6,24.3,31.7,0,3776
1.5,25.2,33,0,3776
1,24.2,31.8,4.4,4316
1,23.5,29.9,1.8,4360
0.8,24.5,32.9,1.9,4360
1.2,25.2,33.4,2.6,4360
0.9,25.5,32.2,9.1,4151
1,24,31.7,8.4,4151
1,23.1,32.3,1.9,4151
1,22.8,33.3,1.3,4240
1.2,24.5,29.5,43.3,4149
2.1,24.3,30.4,32.4,4093
1.7,22.9,30.4,3.1,4270
1,23.6,29.8,38,4270
0.7,24.8,30,14,4270
1.6,24.7,30.1,38.2,4270
0.7,22.8,29.2,20.6,4258
0.8,22.3,30.7,16.9,4258
1,23.2,31.8,14.4,4070
1,24,32.4,0.4,3642
0.9,24.2,33.3,0.2,3662
1.2,24.3,33.9,0,3662
1.1,24.3,33.6,0.2,3662
1.4,24.4,32.1,6,3612
0.8,23.6,31,6.8,3749
1.4,22.4,28.1,19.3,4146
1.2,22.6,29.4,12.7,4371
1.1,23,29.9,6,4371
1.8,24,28.8,18.3,4371
1.1,23.5,29.3,29.3,4371
0.6,23.5,30,4.7,4360
0.7,23,29.9,17,4383
1.8,23,31.7,14.8,4420
2.7,23.5,29.8,26.7,4420
0.9,23.4,31.7,3.4,4495
1,23,32.1,0.1,4495
1.1,23.2,32.3,10.3,4495
1.2,22.9,26.9,21.5,4895
3.1,21.6,27.1,18.6,5183
1.4,19.9,25.2,0.2,5183
0.8,19.3,26.3,12.4,4945
1,21.5,29.8,17.4,4945
0.6,22.6,26.5,42.6,4945
1.4,20.3,27.3,34.2,4945
1.1,19,28,0.2,5535
0.7,18.8,28,0.2,5748
1.1,17.6,28.5,0.5,6664
1,16.9,29.5,0,6807
1,17.3,30,0,6829
1,18.1,30.1,0,6829
0.8,18.2,26.4,6.1,6829
0.6,20.2,27.3,7.4,7184
1.4,20.6,29.7,30.1,7184
2.1,16.1,23.2,9.7,7184
1,13.6,23.3,0.2,7184
